id,x_coordinate,y_coordinate
0,1773,942
1,1537,720
2,1541,690
3,1552,655
4,1575,614
5,1632,577
6,1711,548
7,1785,524
8,1870,505
9,1965,499
10,2046,471
11,2079,444
12,2139,406
13,2227,348
14,2288,317
15,2370,287
16,2691,111
17,2760,111
18,2810,111
19,2861,111
20,2926,115
21,3001,116
22,3059,119
23,3121,131
24,3186,149
25,3272,179
26,3347,199
27,3405,211
28,3473,227
29,3554,257
30,3614,291
31,3648,323
32,3662,360
33,3665,409
34,3665,454
35,3650,502
36,3601,592
37,3562,643
38,3480,713
39,3348,783
40,3185,864
41,2997,956
42,2847,1030
43,2674,1126
44,2541,1198
45,2434,1262
46,2342,1325
47,2198,1418
48,2149,1453
49,46,1264
50,86,1297
51,125,1343
52,166,1402
53,206,1473
54,258,1553
55,316,1623
56,383,1718
57,435,1796
58,497,1857
59,551,1912
60,601,1961
61,675,2035
62,715,2065
63,755,2072
64,801,2033
65,843,1975
66,872,1913
67,907,1850
68,956,1795
69,1010,1771
70,1065,1782
71,1088,1802
72,1115,1857
73,1129,1913
74,1138,1969
75,1147,2020
76,1165,2060
77,1184,2086
78,1214,2087
79,1282,2046
80,1331,1969
81,1357,1900
82,1395,1839
83,1428,1790
84,1395,1776
85,1398,1776
86,1420,1798
87,1434,1831
88,1441,1868
89,1441,1911
90,1461,1979
91,1504,2047
92,1545,2073
93,1622,2065
94,1655,2020
95,1677,1963
96,1690,1903
97,1706,1835
98,1723,1789
99,1742,1785
100,1773,1810
101,1786,1853
102,1792,1917
103,1816,1996
104,1846,2077
105,1871,2095
106,1910,2067
107,1931,2003
108,1954,1941
109,1976,1876
110,2005,1823
111,2052,1806
112,2100,1828
113,2147,1889
114,2172,1950
115,2210,2045
116,2226,2079
117,355,2023
118,406,1997
119,494,1958
120,631,1890
121,795,1828
122,1015,1750
123,1202,1647
124,1356,1566
125,1485,1517
126,1655,1458
127,1908,1364
128,2053,1293
129,2146,1247
130,2150,1268
131,2152,1268
132,2184,1264
133,2254,1231
134,2336,1181
135,2478,1091
136,2608,1033
137,2738,954
138,2852,860
139,3012,753
140,3187,646
141,3394,509
142,3485,433
143,3562,361
144,3632,285
145,3652,249
146,3612,209
147,3467,117
148,3260,72
149,3062,106
150,2995,174
151,2926,263
152,2813,313
153,2699,276
154,2604,180
155,2553,117
156,2519,93
157,2454,88
158,128,754
159,135,749
160,156,735
161,177,720
162,200,705
163,226,688
164,253,665
165,284,643
166,305,630
167,320,621
168,351,608
169,380,590
170,382,588
171,410,574
172,437,545
173,450,506
174,453,482
175,463,462
176,480,435
177,501,421
178,520,408
179,544,395
180,574,374
181,590,353
182,600,335
183,614,318
184,625,290
185,625,259
186,568,209
187,511,165
188,446,129
189,404,105
190,382,95
191,375,94
192,427,73
193,514,58
194,600,56
195,678,35
196,711,30
197,769,47
198,822,95
199,849,153
200,878,232
201,920,360
202,956,476
203,1003,616
204,1050,765
205,1091,884
206,1126,989
207,1176,1125
208,1215,1218
